Date,Close,High,Low,Open,Volume,SMA_Short,SMA_Long,RSI,Signal
,AMZN,AMZN,AMZN,AMZN,AMZN,,,,
2024-05-24,180.75,182.44,180.3,181.65,27434100,,,,0
2024-05-28,182.15,182.24,179.49,179.93,29927000,,,,0
2024-05-29,182.02,184.08,181.55,181.7,32009300,,,,0
2024-05-30,179.32,181.34,178.36,181.31,29249200,,,,0
2024-05-31,176.44,179.21,173.87,178.3,58903900,,,,0
2024-06-03,178.34,178.7,175.92,177.7,30786600,,,,0
2024-06-04,179.34,179.82,176.44,177.64,27198400,,,,0
2024-06-05,181.28,181.5,178.75,180.1,32116400,,,,0
2024-06-06,185.0,185.0,181.49,181.75,31371200,,,,0
2024-06-07,184.3,186.29,183.36,184.9,28021500,,,,0
2024-06-10,187.06,187.23,183.79,184.07,34494500,,,,0
2024-06-11,187.23,187.77,184.54,187.06,27265100,,,,0
2024-06-12,186.89,188.35,185.43,188.02,33984200,,,,0
2024-06-13,183.83,187.67,182.67,186.09,39721500,,,55.52795211510226,0
2024-06-14,183.66,183.72,182.23,183.08,25456400,,,54.86311206645705,0
2024-06-17,184.06,185.0,181.22,182.52,35601900,,,56.1921970226682,0
2024-06-18,182.81,184.29,181.43,183.74,36659200,,,51.12583468676756,0
2024-06-20,186.1,186.51,182.72,182.91,44726800,,,61.073773537567405,0
2024-06-21,189.08,189.28,185.86,187.8,72931800,,,67.52209661504408,0
2024-06-24,185.57,191.0,185.33,189.33,50610400,183.2615,,55.797570260841226,0
2024-06-25,186.34,188.84,185.42,186.81,45898500,183.541,,57.53939270229313,0
2024-06-26,193.61,194.8,186.26,186.92,65103900,184.11399999999998,,69.68548810692374,0
2024-06-27,197.85,199.84,194.2,195.01,74397500,184.90550000000002,,74.302468433436,0
2024-06-28,193.25,198.85,192.5,197.73,76930200,185.602,,63.07808261955967,0
2024-07-01,197.2,198.3,192.82,193.49,41192000,186.64000000000001,,67.6037079550315,0
2024-07-02,200.0,200.43,195.93,197.28,45600000,187.723,,70.37567716397393,0
2024-07-03,197.59,200.03,196.76,199.94,31597900,188.6355,,65.2042248167298,0
2024-07-05,200.0,200.55,198.17,198.65,39858900,189.57150000000001,,67.75589724171596,0
2024-07-08,199.29,201.2,197.96,200.04,34767300,190.286,,66.2153220869385,0
2024-07-09,199.34,200.57,199.05,199.4,32700100,191.03799999999998,,66.2734793109659,0
2024-07-10,199.79,200.11,197.69,200.0,32883800,191.6745,,66.82695232581355,0
2024-07-11,195.05,200.27,192.86,200.09,44565000,192.0655,,56.33912517918081,0
2024-07-12,194.49,196.47,193.83,194.8,30598500,192.4455,,55.23618511993027,0
2024-07-15,192.72,196.19,190.83,194.56,40683200,192.89000000000001,,51.785391411455045,0
2024-07-16,193.02,196.62,192.24,195.59,33994700,193.358,,52.32899498221961,0
2024-07-17,187.93,191.58,185.99,191.35,48076100,193.55149999999998,,43.390241953508564,0
2024-07-18,183.75,189.68,181.45,189.59,51043600,193.5985,,37.69557762502145,0
2024-07-19,183.13,184.93,180.11,181.14,43081800,193.45,,36.92155067583483,0
2024-07-22,182.55,185.06,182.48,185.0,39931900,193.1235,,36.17325327661873,0
2024-07-23,186.41,189.39,183.56,184.1,47537700,193.1655,,44.26864550934549,0
2024-07-24,180.83,185.45,180.41,183.2,41532400,192.89,,36.96896213413943,0
2024-07-25,179.85,183.9,176.8,182.91,44464200,192.20200000000003,,35.85085388139973,0
2024-07-26,182.5,183.19,180.24,180.39,29506000,191.4345,,41.04343454532829,0
2024-07-29,183.2,184.75,182.38,183.84,33270100,190.932,,42.370445427137966,0
2024-07-30,181.71,185.86,179.38,184.72,39508600,190.1575,,40.29156569816933,0
2024-07-31,186.98,187.94,184.46,185.05,41667300,189.50650000000002,,49.6931763544585,0
2024-08-01,184.07,190.6,181.87,189.29,70435600,188.83049999999997,,45.43857979185092,0
2024-08-02,167.9,168.77,160.55,166.75,141448400,187.22549999999998,,30.045095555012452,0
2024-08-05,161.02,162.96,151.61,154.21,83149400,185.31199999999998,,26.00789368785223,0
2024-08-06,161.93,165.08,158.54,161.71,59950800,183.44150000000002,185.97060000000002,27.397513533675067,0
2024-08-07,162.77,167.58,161.43,166.55,48408200,181.5905,185.611,28.72812535244664,0
2024-08-08,165.8,166.69,162.55,165.17,44616200,180.128,185.28400000000002,33.4650628957592,0
2024-08-09,166.94,168.55,165.85,166.4,36401000,178.7505,184.9824,35.20982232318775,0
2024-08-12,166.8,168.55,166.11,168.14,30072800,177.4545,184.732,35.08813259357248,0
2024-08-13,170.23,171.04,167.1,167.81,39237900,176.315,184.6078,40.51270008996823,0
2024-08-14,170.1,172.28,168.86,172.11,28843800,175.4235,184.44299999999998,40.37498317540129,0
2024-08-15,177.59,177.91,173.99,174.86,51698500,175.11550000000003,184.408,50.76059409150544,0
2024-08-16,177.06,178.34,176.26,177.04,31489200,174.812,184.3236,50.0956543009789,0
2024-08-19,178.22,178.3,176.16,177.64,31129800,174.5955,184.18800000000002,51.59035529762194,0
2024-08-20,178.88,179.01,177.43,177.92,26255200,174.219,184.0796,52.46276503638849,0
2024-08-21,180.11,182.39,178.89,179.92,35599100,174.18300000000002,183.94060000000002,54.122114510891834,0
2024-08-22,176.13,181.47,175.68,181.38,32047500,173.99699999999999,183.7186,48.25277919732458,0
2024-08-23,177.04,178.97,175.24,177.34,29150100,173.724,183.5216,49.59863782596524,0
2024-08-26,175.5,177.47,174.3,176.7,22366200,173.339,183.355,47.354065048218445,0
2024-08-27,173.12,174.89,172.25,174.15,29842000,172.9095,183.14419999999998,44.03722302938295,0
2024-08-28,170.8,173.69,168.92,173.69,29045000,172.10049999999998,182.87900000000002,41.02096103354423,0
2024-08-29,172.12,174.29,170.81,173.22,26407800,171.50300000000001,182.6652,43.396504695690034,0
2024-08-30,178.5,178.9,172.6,172.78,43429400,172.03300000000002,182.51319999999998,53.20675185316697,0
2024-09-03,176.25,178.26,175.26,177.55,37817500,172.79450000000003,182.2566,49.920774709621604,0
2024-09-04,173.33,175.98,172.54,174.48,30309200,173.3645,182.0118,45.954264071153155,0
2024-09-05,177.89,179.88,175.0,175.0,40170500,174.1205,181.8428,52.32493633057326,0
2024-09-06,171.39,178.38,171.16,177.24,41466500,174.4,181.3984,44.307519506493115,0
2024-09-09,175.4,175.85,173.51,174.53,29037400,174.823,180.9494,49.45311724134198,0
2024-09-10,179.55,180.5,176.79,177.49,36233800,175.4605,180.67539999999997,54.17219106513028,0
2024-09-11,184.52,184.99,175.73,180.1,42564700,176.175,180.4218,59.09721401832211,0
2024-09-12,187.0,187.41,183.54,184.8,33622500,177.02,180.1618,61.330419092133845,0
2024-09-13,186.49,188.5,185.91,187.0,26495400,177.46499999999997,179.9398,60.597704121523236,0
2024-09-16,184.89,185.81,183.36,185.29,26065500,177.8565,179.63760000000002,58.24663986262947,0
2024-09-17,186.88,189.45,186.14,186.85,26091700,178.2895,179.3894,60.309242161378506,0
2024-09-18,186.43,188.8,185.06,186.45,34448100,178.667,179.13119999999998,59.59234206155856,0
2024-09-19,189.87,190.99,188.47,190.04,39543200,179.155,178.9328,63.19416271169363,1
2024-09-20,191.6,191.84,187.41,190.23,100378600,179.9285,178.86379999999997,64.88917102238341,0
2024-09-23,193.88,194.45,190.57,191.64,36993100,180.7705,178.8516,67.04330266793241,0
2024-09-24,193.96,195.37,190.13,194.27,43478900,181.6935,178.8764,67.11952969840497,0
2024-09-25,192.53,193.95,192.16,193.75,26391100,182.664,178.8666,64.25847307274026,0
2024-09-26,191.16,194.53,189.54,194.31,36334900,183.68200000000002,178.9312,61.55149124090823,0
