Date,Close,High,Low,Open,Volume,SMA_Short,SMA_Long,RSI,Signal
,META,META,META,META,META,,,,
2024-05-24,476.48,478.11,464.61,465.92,12012300,,,,0
2024-05-28,478.18,479.11,473.11,474.85,10175800,,,,0
2024-05-29,472.64,478.11,471.98,472.93,9226200,,,,0
2024-05-30,465.35,470.02,463.02,469.96,10735200,,,,0
2024-05-31,465.13,467.41,452.81,464.11,16919800,,,,0
2024-06-03,475.75,477.86,466.54,469.15,11279400,,,,0
2024-06-04,475.26,477.15,471.51,475.27,7088700,,,,0
2024-06-05,493.26,494.84,482.15,482.69,15690500,,,,0
2024-06-06,491.97,500.99,489.11,491.19,10667300,,,,0
2024-06-07,491.17,497.1,488.39,494.11,9380700,,,,0
2024-06-10,500.77,500.83,491.62,492.06,11236900,,,,0
2024-06-11,505.63,505.75,496.46,498.34,9673700,,,,0
2024-06-12,506.99,512.14,502.64,512.12,11983200,,,,0
2024-06-13,502.27,507.51,499.54,503.87,9954600,,,71.3679055104146,0
2024-06-14,502.83,505.81,499.43,501.32,10243300,,,71.75692843948161,0
2024-06-17,505.29,509.4,494.7,500.34,11266600,,,73.46266202200475,0
2024-06-18,498.17,504.66,493.71,503.23,13060400,,,61.824385947703924,0
2024-06-20,500.37,502.34,495.46,500.67,11801200,,,63.73610393028999,0
2024-06-21,493.47,502.12,491.09,502.12,23130700,,,54.51532712588384,0
2024-06-24,497.59,506.46,492.98,497.88,13525300,489.9285,,58.38655288428801,0
2024-06-25,509.25,509.36,494.19,495.74,12109800,491.567,,66.95771193347227,0
2024-06-26,511.76,512.45,503.34,505.31,8882300,493.246,,68.46355082128443,0
2024-06-27,518.19,521.5,512.54,512.89,10121200,495.52350000000007,,71.98571699464893,0
2024-06-28,502.89,520.5,502.51,515.78,15855100,497.4005,,55.96796094338183,0
2024-07-01,503.34,505.24,491.87,503.61,10328200,499.311,,56.276123427567796,0
2024-07-02,508.15,509.15,498.13,499.44,7739500,500.9309999999999,,59.53597131184935,0
2024-07-03,508.61,509.93,504.68,505.03,6005600,502.59849999999994,,59.84430660850722,0
2024-07-05,538.48,539.44,510.25,510.25,21354100,504.8595,,73.80348206660554,0
2024-07-08,527.92,541.37,525.26,540.92,14917500,506.657,,65.1772340291218,0
2024-07-09,528.6,536.06,526.79,532.34,8753200,508.5285,,65.45721730306647,0
2024-07-10,533.28,537.45,526.96,529.39,10983300,510.1539999999999,,67.39993169371817,0
2024-07-11,511.34,534.04,507.03,529.49,16458300,510.43949999999995,,52.49459796681672,0
2024-07-12,497.55,506.75,492.92,496.44,19750500,509.96750000000003,,45.659760338105464,0
2024-07-15,494.85,505.34,492.06,497.31,12539200,509.5965,,44.439733963197895,0
2024-07-16,488.49,502.62,484.5,500.17,14075800,508.8795,,41.61873757982423,0
2024-07-17,460.77,477.9,457.91,477.9,28076600,506.6535,,32.06483375274294,0
2024-07-18,474.59,477.97,463.31,473.74,19267200,505.4745,,39.51917346443132,0
2024-07-19,475.53,485.42,474.45,474.8,15149400,504.23249999999996,,40.00140996233146,0
2024-07-22,486.11,490.76,482.62,485.29,12023100,503.8645,,45.289019247937134,0
2024-07-23,487.4,493.91,486.43,488.54,9455500,503.355,,45.914890140337796,0
2024-07-24,460.05,475.04,459.36,471.06,17649700,500.895,,36.405901170366896,0
2024-07-25,452.21,462.32,441.48,462.03,18240500,497.9175,,34.21823138722368,0
2024-07-26,464.47,468.53,458.2,462.97,14222400,495.2315,,40.26341459908187,0
2024-07-29,464.48,472.71,463.79,468.64,11339600,493.311,,40.2682363355807,0
2024-07-30,461.96,471.48,455.49,465.76,11390400,491.242,,39.40505850114896,0
2024-07-31,473.57,475.24,465.52,469.77,24285800,489.51300000000003,,45.230063112831026,0
2024-08-01,496.42,525.78,490.8,519.62,43083100,488.9035,,54.50058855184107,0
2024-08-02,486.85,499.82,474.89,487.71,24044700,486.322,,50.63493620719874,0
2024-08-05,474.47,482.2,449.61,450.16,21396200,483.6495,,46.08147765065842,0
2024-08-06,492.78,501.23,477.38,477.73,20955000,481.8585,491.8586,52.8368093969505,0
2024-08-07,487.63,508.8,485.57,501.8,20105300,479.5759999999999,492.08160000000004,50.90496384943846,0
2024-08-08,508.28,508.61,493.41,496.18,16156800,479.42300000000006,492.6836,57.59928452257611,0
2024-08-09,516.4,516.97,504.36,506.37,13696600,480.3655,493.5588,59.913922862401215,0
2024-08-12,514.59,516.65,507.75,515.49,9767400,481.35249999999996,494.5436,59.138942424205226,0
2024-08-13,527.14,530.09,516.78,518.63,13743800,483.28499999999997,495.78380000000004,62.73792583344549,0
2024-08-14,525.37,532.59,521.75,526.66,11444200,486.51500000000004,496.7762,61.90971055255629,0
2024-08-15,535.91,538.34,525.31,530.38,13482100,489.581,497.9892,64.88265494154001,0
2024-08-16,526.02,532.25,523.27,530.49,14776700,492.1055,498.6444,60.1394455568276,0
2024-08-19,527.88,530.25,521.38,525.48,9879700,494.19399999999996,499.36260000000004,60.72101987861055,0
2024-08-20,525.34,529.68,524.49,526.95,7944400,496.091,500.04600000000005,59.445502598276825,0
2024-08-21,533.74,537.97,525.54,525.76,13423300,499.7755,500.7054,62.26832543405375,0
2024-08-22,530.52,542.79,527.19,535.58,15708300,503.691,501.2032,60.529044696140595,1
2024-08-23,526.6,538.44,523.67,535.5,11323900,506.7975,501.5953999999999,58.39077909472576,0
2024-08-26,519.74,526.6,513.59,526.2,9584000,509.56050000000005,501.94480000000004,54.745986281390365,0
2024-08-27,517.73,522.62,513.95,517.61,6282700,512.3489999999999,502.2428,53.688519749012265,0
2024-08-28,515.41,519.71,511.09,516.3,9106100,514.441,502.44519999999994,52.42968646152924,0
